Dealership,VDP_URL_1,Main_Photo,Make,Year_Model_Trim,Stock,Description,LeasePrice,DueAtSigning,LeaseTerm,disclaimer_1,PurchaseType,Luxury_Subject_Line,Luxury_Preheader,Lifestyle_Subject_Line,Lifestyle_Preheader,Hero_Disclaimer,Lifestyle_Body_Title,Lifestyle_Body,Hero_Image
BMW of Eugene,https://www.bmwofeugene.com/new-Eugene-2025-BMW-i7-eDrive50-WBY43EJ01SCT90000,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025BMCA2_01_640/cc_2025BMCA21949944_01_640_475.png,BMW,2025 i7 eDRIVE50 Sedan,CT90000,"Plus Tax, Title, License",989,4249,36,"*2025 BMW i7 eDRIVE50 Sedan: Available only to qualified customers through BMW Financial Services at through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $113925 with a net capitalized cost of $84417. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $35604. Cash due at signing is $4249, which includes your first payment of $989. $925 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $19255. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $37518. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $350 vehicle turn-in fee. Purchase option at lease end for $58101 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Inventory is current at time of media release. Offer applies to Stock # CT90000.",Lease,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BMW of Lynnwood,https://www.bmwlynnwood.com/used-Lynnwood-2024-BMW-i5-eDrive40-WBY33FK09RCR56589,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2024BMCA4_01_640/cc_2024BMCA41965878_01_640_C3Z.png,Pre-Owned BMW,2024 i5 eDRIVE40,CR56589,"Plus Tax, Title, License",579,999,36,"*2024 i5 eDRIVE40: Available only to qualified customers through BMW Financial Services at BMW of Lynnwood through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $68995 with a net capitalized cost of $49303. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $20844. Cash due at signing is $999, which includes your first payment of $579. $925 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $7355. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $22348. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $350 vehicle turn-in fee. Purchase option at lease end for $33209 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # CR56589.",Lease,,,,,,,,
BMW of Lynnwood,https://www.bmwlynnwood.com/new-Lynnwood-2025-BMW-Z4-M40i-WBAHF9C05SWY44890,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025BMC24_01_640/cc_2025BMC241954930_01_640_475.png,BMW,2025 Z4 M40i,WY44890,"Plus Tax, Title, License",799,1999,39,"*2025 Z4 M40i: Available only to qualified customers through BMW Financial Services at BMW of Lynnwood through Mon Jun 30 2025. Not everyone will qualify. Advertised 39 months lease payment based on MSRP of $72495 with a net capitalized cost of $57517. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $31161. Cash due at signing is $1999, which includes your first payment of $799. $925 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $32885. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 32500 miles and a $350 vehicle turn-in fee. Purchase option at lease end for $36609 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # WY44890.",Lease,,,,,,,,
BMW of Lynnwood,https://www.bmwlynnwood.com/new-Lynnwood-2025-BMW-X5-M60i-5UX33EU00S9X50796,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025BMS19_01_640/cc_2025BMS191965655_01_640_A96.png,BMW,2025 X5 M60i,9X50796,"Plus Tax, Title, License",999,1999,36,"*2025 X5 M60i: Available only to qualified customers through BMW Financial Services at BMW of Lynnwood through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $94560 with a net capitalized cost of $78230. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $35964. Cash due at signing is $1999, which includes your first payment of $999. $925 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $37888. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $350 vehicle turn-in fee. Purchase option at lease end for $49171 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # 9X50796.",Lease,,,,,,,,
BMW of Lynnwood,https://www.bmwlynnwood.com/new-Lynnwood-2024-BMW-i7-xDrive60-WBY53EJ09RCR60176,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2024BMCA2_01_640/cc_2024BMCA21949942_01_640_300.png,BMW,2024 i7 xDRIVE60,CR60176,"Plus Tax, Title, License",999,1999,36,"*2024 i7 xDrive60 Sedan: Available only to qualified customers through BMW Financial Services at BMW of Lynnwood through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $126495 with a net capitalized cost of $94510. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $35964. Cash due at signing is $1999, which includes your first payment of $999. $925 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $10408. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $37888. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $350 vehicle turn-in fee. Purchase option at lease end for $65214 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # CR60176.",Lease,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Crown Toyota,https://www.crowntoyota.com/offerdetails-New-Ontario-California-2025-bZ4X-1534655,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025TOS24_01_640/cc_2025TOS241948064_01_640_202.png,Toyota,2025 bZ4X,12 Vehicles Available,For well-qualified buyers.,0%,,72,"*2025 bZ4X: Qualified customers who finance a new 2025 bZ4X can receive as low as 0% APR for 72 months with 72 monthly payments of $13.89 for every $1,000 financed. Terms available on approved credit through Toyota Financial Services (TFS) at participating Toyota dealers. For only very well qualified customers. Cash offer must be applied toward required down payment amount or percentage. Amount financed, down payment amount, and credit worthiness may impact availability of offer. There is no cash back option. Dealer contribution may vary and could affect price. Individual dealer prices, other terms and offers may vary. Must take retail delivery from dealer's stock and terms subject to vehicle availability. Cannot be combined with TFS Lease Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, Lease, Lease Subvention Cash. See your participating Toyota dealer for details. Dealer sets final price. Offer available in CA regardless of buyer's residency; void where prohibited. Expires 06-30-2025. Toyota Financial Services is a service mark used by Toyota Motor Credit Corporation (TMCC). Retail installment accounts may be owned by TMCC or its securitization affiliates and lease accounts may be owned by Toyota Lease Trust (TLT) or its securitization affiliates. TMCC is the servicer for accounts owned by TMCC, TLT, and their securitization affiliates.",Finance,,,,,"*0% APR financing for 60 months: Qualified customers who finance a new 2024 -2025 Tacoma or new 2025 Tundra can receive as low as 0% APR for 60 months with 60 monthly payments of $16.67 for every $1,000 financed. Not all models qualify. Eligible models include 7532, 7146, 8261, 8361, 8372, 8375, 8421. Dealer doc fee is $85 and is not included. Terms available on approved credit through Toyota Financial Services (TFS) at Crown Toyota. For only very well qualified customers. Max amount financed is $20,000 on Tacoma and $30,000 on Tundra. Amount financed, down payment amount, and credit worthiness may impact availability of offer. There is no cash back option. Dealer contribution may vary and could affect price. Individual dealer prices, other terms and offers may vary. Must take retail delivery from dealer's stock and terms subject to vehicle availability. Cannot be combined with TFS Lease Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, Lease, Lease Subvention Cash. See your participating Toyota dealer for details. Dealer sets final price. Expires 6-30-2025.",,,
Crown Toyota,https://www.crowntoyota.com/offerdetails-New-Ontario-California-2025-Corolla-1534657,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025TOC04_01_640/cc_2025TOC041927393_01_640_1K3.png,Toyota,2025 Corolla,76 Vehicles Available,"Plus Tax, Title, License",249,2999,36,"*2025 Corolla: Terms available on approved credit through Toyota Financial Services (TFS) at participating Toyota dealers. Not all customers qualify. Lease example based on 2025 Corolla 2WD 4Dr. Sedan LE L4 CVT-F Model 1852 with Total SRP of $23,759, net capitalized cost of $21,077, and a lease end purchase amount of $14,493. $2,999 Due At Signing includes $2,100 customer down payment, first month's payment of $249 of the 36 month lease offer, and $650 Acquisition Fee. Security deposit required with exception of prior Toyota Financial Services (TFS) financing history and/or TFS credit rating in which a security deposit may be waived. Tax, title, license are extra. Dealer contribution may vary and could affect lease payment. Individual dealer prices, other terms and offers may vary. Must lease from participating dealer's stock and terms are subject to vehicle availability. Lessee responsible for maintenance, excess wear and use, and will pay $0.15 per mile for all mileage over 10,000 miles per year. $350 disposition fee is due at lease end. Cannot be combined with TFS Finance Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, APR, Finance Subvention Cash. Offer available in CA regardless of buyer's residency; void where prohibited. Expires 06-30-2025. Dealer sets final price. See your participating Toyota dealer for details. Toyota Financial Services is a service mark used by Toyota Motor Credit Corporation (TMCC). Retail installment accounts may be owned by TMCC or its securitization affiliates and lease accounts may be owned by Toyota Lease Trust (TLT) or its securitization affiliates. TMCC is the servicer for accounts owned by TMCC, TLT, and their securitization affiliates.",Lease,,,,,"*0% APR financing for 60 months: Qualified customers who finance a new 2024 -2025 Tacoma or new 2025 Tundra can receive as low as 0% APR for 60 months with 60 monthly payments of $16.67 for every $1,000 financed. Not all models qualify. Eligible models include 7532, 7146, 8261, 8361, 8372, 8375, 8421. Dealer doc fee is $85 and is not included. Terms available on approved credit through Toyota Financial Services (TFS) at Crown Toyota. For only very well qualified customers. Max amount financed is $20,000 on Tacoma and $30,000 on Tundra. Amount financed, down payment amount, and credit worthiness may impact availability of offer. There is no cash back option. Dealer contribution may vary and could affect price. Individual dealer prices, other terms and offers may vary. Must take retail delivery from dealer's stock and terms subject to vehicle availability. Cannot be combined with TFS Lease Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, Lease, Lease Subvention Cash. See your participating Toyota dealer for details. Dealer sets final price. Expires 6-30-2025.",,,
Crown Toyota,https://www.crowntoyota.com/offerdetails-New-Ontario-California-2025-Tacoma-1534658,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025TOT14_01_640/cc_2025TOT141949526_01_640_3U5.png,Toyota,2025 Tacoma,174 Vehicles Available,"Plus Tax, Title, License",269,3999,36,"*2025 Tacoma: Terms available on approved credit through Toyota Financial Services (TFS) at participating Toyota dealers. Not all customers qualify. Lease example based on 2025 Tacoma 2WD Double Cab SR5 L4 8AT Model 7146 with Total SRP of $39,429, net capitalized cost of $34,986, and a lease end purchase amount of $30,360. $3,999 Due At Signing includes $3,080 customer down payment, first month's payment of $269 of the 36 month lease offer, and $650 Acquisition Fee. Security deposit required with exception of prior Toyota Financial Services (TFS) financing history and/or TFS credit rating in which a security deposit may be waived. Tax, title, license are extra. Dealer contribution may vary and could affect lease payment. Individual dealer prices, monthly payment, and other terms and offers may vary. Must lease from participating dealer's stock and terms are subject to vehicle availability. Lessee responsible for maintenance, excess wear and use, and will pay $0.15 per mile for all mileage over 10,000 miles per year. $350 disposition fee is due at lease end. Cannot be combined with TFS Finance Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, APR, Finance Subvention Cash. Excludes 2WD Double Cab TRD SPORT L4 8AT, 2WD Extra Cab TRD PRERUN L4 8AT, 2WD Double Cab TRD SPORT L4 8AT, 4WD Double Cab TRD SPORT L4 8AT, 4WD Double Cab TRD SPORT L4 6MT, 4WD Double Cab TRD OFF RD L4 8AT, 4WD Double Cab TRD OFF RD L4 6MT, 4WD Double Cab TRD SPORT L4 8AT, 4WD Double Cab TRD OFF RD L4 8AT, 4WD Double Cab LIMITED L4 8AT. Offer available in CA regardless of buyer's residency; void where prohibited. Expires 06-30-2025. Dealer sets final price. See your participating Toyota dealer for details. Toyota Financial Services is a service mark used by Toyota Motor Credit Corporation (TMCC). Retail installment accounts may be owned by TMCC or its securitization affiliates and lease accounts may be owned by Toyota Lease Trust (TLT) or its securitization affiliates. TMCC is the servicer for accounts owned by TMCC, TLT, and their securitization affiliates.",Lease,,,,,"*0% APR financing for 60 months: Qualified customers who finance a new 2024 -2025 Tacoma or new 2025 Tundra can receive as low as 0% APR for 60 months with 60 monthly payments of $16.67 for every $1,000 financed. Not all models qualify. Eligible models include 7532, 7146, 8261, 8361, 8372, 8375, 8421. Dealer doc fee is $85 and is not included. Terms available on approved credit through Toyota Financial Services (TFS) at Crown Toyota. For only very well qualified customers. Max amount financed is $20,000 on Tacoma and $30,000 on Tundra. Amount financed, down payment amount, and credit worthiness may impact availability of offer. There is no cash back option. Dealer contribution may vary and could affect price. Individual dealer prices, other terms and offers may vary. Must take retail delivery from dealer's stock and terms subject to vehicle availability. Cannot be combined with TFS Lease Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, Lease, Lease Subvention Cash. See your participating Toyota dealer for details. Dealer sets final price. Expires 6-30-2025.",,,
Crown Toyota,https://www.crowntoyota.com/offerdetails-New-Ontario-California-2025-Camry-1534659,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025TOC02_01_640/cc_2025TOC020008_01_640_089.png,Toyota,2025 Camry,168 Vehicles Available,"Plus Tax, Title, License",309,2999,36,"*2025 Camry: Terms available on approved credit through Toyota Financial Services (TFS) at participating Toyota dealers. Not all customers qualify. Lease example based on 2025 Camry 2WD 4Dr. Sedan LE Hybrid CVT Model 2559 with Total SRP of $30,393, net capitalized cost of $27,116, and a lease end purchase amount of $20,059. $2,999 Due At Signing includes $2,040 customer down payment, first month's payment of $309 of the 36 month lease offer, and $650 Acquisition Fee. Security deposit required with exception of prior Toyota Financial Services (TFS) financing history and/or TFS credit rating in which a security deposit may be waived. Tax, title, license are extra. Dealer contribution may vary and could affect lease payment. Individual dealer prices, monthly payment, and other terms and offers may vary. Must lease from participating dealer's stock and terms are subject to vehicle availability. Lessee responsible for maintenance, excess wear and use, and will pay $0.15 per mile for all mileage over 10,000 miles per year. $350 disposition fee is due at lease end. Cannot be combined with TFS Finance Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, APR, Finance Subvention Cash. Excludes 2WD 4Dr. Sedan XSE Hybrid CVT, 2WD 4Dr. Sedan XLE Hybrid CVT, 4WD 4Dr. Sedan XSE Hybrid CVT, 4WD 4Dr. Sedan XLE Hybrid CVT. Offer available in CA regardless of buyer's residency; void where prohibited. Expires 06-30-2025. Dealer sets final price. See your participating Toyota dealer for details. Toyota Financial Services is a service mark used by Toyota Motor Credit Corporation (TMCC). Retail installment accounts may be owned by TMCC or its securitization affiliates and lease accounts may be owned by Toyota Lease Trust (TLT) or its securitization affiliates. TMCC is the servicer for accounts owned by TMCC, TLT, and their securitization affiliates.",Lease,,,,,"*0% APR financing for 60 months: Qualified customers who finance a new 2024 -2025 Tacoma or new 2025 Tundra can receive as low as 0% APR for 60 months with 60 monthly payments of $16.67 for every $1,000 financed. Not all models qualify. Eligible models include 7532, 7146, 8261, 8361, 8372, 8375, 8421. Dealer doc fee is $85 and is not included. Terms available on approved credit through Toyota Financial Services (TFS) at Crown Toyota. For only very well qualified customers. Max amount financed is $20,000 on Tacoma and $30,000 on Tundra. Amount financed, down payment amount, and credit worthiness may impact availability of offer. There is no cash back option. Dealer contribution may vary and could affect price. Individual dealer prices, other terms and offers may vary. Must take retail delivery from dealer's stock and terms subject to vehicle availability. Cannot be combined with TFS Lease Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, Lease, Lease Subvention Cash. See your participating Toyota dealer for details. Dealer sets final price. Expires 6-30-2025.",,,
,,,,,,,,,,,,,,,,,,,
Gresham Toyota (using June Jamboree in place),https://www.greshamtoyota.com/new-Gresham-2025-Toyota-Corolla+Cross-LE-7MUBAABG5SV136619,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025TOS23_01_640/cc_2025TOS231951297_01_640_6X5.png,Toyota,2025 Corolla Cross LE,V136619,"Plus Tax, Title, License",439,439,36,,Lease,,,,,"*2025 Toyota Prius Plug-In Hybrid SE: Terms available on approved credit through Toyota Financial Services (TFS) at participating Toyota dealers. Not all customers qualify. Lease example based on 2025 Prius Plug-in Hybrid with Total SRP of $36232, net capitalized cost of $31787, and a lease end purchase amount of $24449. $369 Due At Signing includes $369 customer down payment, first month's payment of $369 for 36 months, and a $650 Acquisition Fee. Security deposit required with exception of prior Toyota Financial Services (TFS) financing history and/or TFS credit rating in which a security deposit may be waived. Tax, title, license are extra. Cash from TMS must be applied as a capitalized cost reduction (down payment) that is excluded from due at signing; no cash back option. Dealer contribution may vary and could affect lease payment. Individual dealer prices, monthly payment, and other terms and offers may vary. Must lease from participating dealer's stock and terms are subject to vehicle availability. Lessee responsible for maintenance, excess wear and use, and will pay $0.15 per mile for all mileage over 30000 miles. $350 disposition fee is due at lease end. Doc Fee: $250. Cannot be combined with TFS Finance Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, APR, Finance Subvention Cash. Offer available in OR regardless of buyer's residency; void where prohibited. Expires Mon Jun 30 2025. Dealer sets final price. See your participating Toyota dealer for details. Toyota Financial Services is a service mark used by Toyota Motor Credit Corporation (TMCC). Retail installment accounts may be owned by TMCC or its securitization affiliates and lease accounts may be owned by Toyota Lease Trust (TLT) or its securitization affiliates. TMCC is the servicer for accounts owned by TMCC, TLT, and their securitization affiliates. VIN: 3045668.",,,
Gresham Toyota (using June Jamboree in place),https://www.greshamtoyota.com/new-Gresham-2025-Toyota-Tacoma-TRD+Off+Road-3TMLB5JN2SM146074,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025TOT09_01_640/cc_2025TOT091953027_01_640_040.png,Toyota,2025 Tacoma TRD Off Road,M146074,"Plus Tax, Title, License",459,459,36,,Lease,,,,,"*2025 Toyota Prius Plug-In Hybrid SE: Terms available on approved credit through Toyota Financial Services (TFS) at participating Toyota dealers. Not all customers qualify. Lease example based on 2025 Prius Plug-in Hybrid with Total SRP of $36232, net capitalized cost of $31787, and a lease end purchase amount of $24449. $369 Due At Signing includes $369 customer down payment, first month's payment of $369 for 36 months, and a $650 Acquisition Fee. Security deposit required with exception of prior Toyota Financial Services (TFS) financing history and/or TFS credit rating in which a security deposit may be waived. Tax, title, license are extra. Cash from TMS must be applied as a capitalized cost reduction (down payment) that is excluded from due at signing; no cash back option. Dealer contribution may vary and could affect lease payment. Individual dealer prices, monthly payment, and other terms and offers may vary. Must lease from participating dealer's stock and terms are subject to vehicle availability. Lessee responsible for maintenance, excess wear and use, and will pay $0.15 per mile for all mileage over 30000 miles. $350 disposition fee is due at lease end. Doc Fee: $250. Cannot be combined with TFS Finance Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, APR, Finance Subvention Cash. Offer available in OR regardless of buyer's residency; void where prohibited. Expires Mon Jun 30 2025. Dealer sets final price. See your participating Toyota dealer for details. Toyota Financial Services is a service mark used by Toyota Motor Credit Corporation (TMCC). Retail installment accounts may be owned by TMCC or its securitization affiliates and lease accounts may be owned by Toyota Lease Trust (TLT) or its securitization affiliates. TMCC is the servicer for accounts owned by TMCC, TLT, and their securitization affiliates. VIN: 3045668.",,,
Gresham Toyota (using June Jamboree in place),https://www.greshamtoyota.com/new-Gresham-2025-Toyota-Tacoma-TRD+Off+Road+Hybrid-3TYLC5LN0ST022772,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025TOT14_01_640/cc_2025TOT141949470_01_640_6X1.png,Toyota,2025 Tacoma TRD Off Road Hybrid,T022772,"Plus Tax, Title, License",599,599,36,,Lease,,,,,"*2025 Toyota Prius Plug-In Hybrid SE: Terms available on approved credit through Toyota Financial Services (TFS) at participating Toyota dealers. Not all customers qualify. Lease example based on 2025 Prius Plug-in Hybrid with Total SRP of $36232, net capitalized cost of $31787, and a lease end purchase amount of $24449. $369 Due At Signing includes $369 customer down payment, first month's payment of $369 for 36 months, and a $650 Acquisition Fee. Security deposit required with exception of prior Toyota Financial Services (TFS) financing history and/or TFS credit rating in which a security deposit may be waived. Tax, title, license are extra. Cash from TMS must be applied as a capitalized cost reduction (down payment) that is excluded from due at signing; no cash back option. Dealer contribution may vary and could affect lease payment. Individual dealer prices, monthly payment, and other terms and offers may vary. Must lease from participating dealer's stock and terms are subject to vehicle availability. Lessee responsible for maintenance, excess wear and use, and will pay $0.15 per mile for all mileage over 30000 miles. $350 disposition fee is due at lease end. Doc Fee: $250. Cannot be combined with TFS Finance Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, APR, Finance Subvention Cash. Offer available in OR regardless of buyer's residency; void where prohibited. Expires Mon Jun 30 2025. Dealer sets final price. See your participating Toyota dealer for details. Toyota Financial Services is a service mark used by Toyota Motor Credit Corporation (TMCC). Retail installment accounts may be owned by TMCC or its securitization affiliates and lease accounts may be owned by Toyota Lease Trust (TLT) or its securitization affiliates. TMCC is the servicer for accounts owned by TMCC, TLT, and their securitization affiliates. VIN: 3045668.",,,
Gresham Toyota (using June Jamboree in place),https://www.greshamtoyota.com/new-Gresham-2025-Toyota-GR86-Premium-JF1ZNBE17S9756239,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025TOC37_01_640/cc_2025TOC371933500_01_640_P8Y.png,Toyota,2025 GR86 Premium,9756239,"Plus Tax, Title, License",499,999,36,,Lease,,,,,"*2025 Toyota Prius Plug-In Hybrid SE: Terms available on approved credit through Toyota Financial Services (TFS) at participating Toyota dealers. Not all customers qualify. Lease example based on 2025 Prius Plug-in Hybrid with Total SRP of $36232, net capitalized cost of $31787, and a lease end purchase amount of $24449. $369 Due At Signing includes $369 customer down payment, first month's payment of $369 for 36 months, and a $650 Acquisition Fee. Security deposit required with exception of prior Toyota Financial Services (TFS) financing history and/or TFS credit rating in which a security deposit may be waived. Tax, title, license are extra. Cash from TMS must be applied as a capitalized cost reduction (down payment) that is excluded from due at signing; no cash back option. Dealer contribution may vary and could affect lease payment. Individual dealer prices, monthly payment, and other terms and offers may vary. Must lease from participating dealer's stock and terms are subject to vehicle availability. Lessee responsible for maintenance, excess wear and use, and will pay $0.15 per mile for all mileage over 30000 miles. $350 disposition fee is due at lease end. Doc Fee: $250. Cannot be combined with TFS Finance Cash, Down Payment Assistance, Trade-in Assistance, Customer Cash, APR, Finance Subvention Cash. Offer available in OR regardless of buyer's residency; void where prohibited. Expires Mon Jun 30 2025. Dealer sets final price. See your participating Toyota dealer for details. Toyota Financial Services is a service mark used by Toyota Motor Credit Corporation (TMCC). Retail installment accounts may be owned by TMCC or its securitization affiliates and lease accounts may be owned by Toyota Lease Trust (TLT) or its securitization affiliates. TMCC is the servicer for accounts owned by TMCC, TLT, and their securitization affiliates. VIN: 3045668.",,,
,,,,,,,,,,,,,,,,,,,
Cadillac Anchorage,https://www.cadillacanchorage.com/searchnew.aspx?ModelAndTrim=XT5,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025CAS06_01_640/cc_2025CAS060005_01_640_GB8.png,Cadillac,2025 XT5,"Z129337, Z129949","Plus Tax, Title, License",449,4569,24,"*2025 Cadillac XT5 Luxury: 1. Must be a current lessee of a 2020 model year or newer GM vehicle through GM Financial or Cadillac Financial for at least 30 days prior to the new vehicle sale. Payments are for a 2025 XT5 Luxury with an MSRP of $45,790. 36 monthly payments total $16,164. Closed-end lease. Option to purchase at lease end for an amount to be determined at lease signing. Cadillac Financial/GM Financial must approve lease. Take new retail delivery by 6/30/25. Mileage charge of $.25/mile over 30,000 miles. Late payment and early termination fees apply. Lessee is responsible for insuring the lease vehicle. Lessee pays for maintenance, repair, excess wear and disposition fee of $595 or less at end of lease. Not available with some other offers. © 2025 General Motors. Cadillac Financial and the Cadillac logo are trademarks and/or service marks of General Motors LLC, used with permission. Cadillac Financial is a division of GM Financial. All Rights Reserved. Cadillac® XT5®",Lease,,,,,,,,
Cadillac Anchorage,https://www.cadillacanchorage.com/searchnew.aspx?ModelAndTrim=XT6,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025CAS08_01_640/cc_2025CAS080007_01_640_GNT.png,Cadillac,2025 XT6 ,"Z141370,  Z142973, Z143064, Z129941 ","Plus Tax, Title, License",499,4989,24,"*2025 Cadillac XT6 Luxury: 1. Must be a current lessee of a 2020 model year or newer GM vehicle through GM Financial or Cadillac Financial for at least 30 days prior to the new vehicle sale. Payments are for a 2025 XT6 Luxury with an MSRP of $50,690. 24 monthly payments total $11,976. Closed-end lease. Option to purchase at lease end for an amount to be determined at lease signing. Cadillac Financial/GM Financial must approve lease. Take new retail delivery by 6/30/25. Mileage charge of $.25/mile over 20,000 miles. Late payment and early termination fees apply. Lessee is responsible for insuring the lease vehicle. Lessee pays for maintenance, repair, excess wear and disposition fee of $595 or less at end of lease. Not available with some other offers. © 2025 General Motors. Cadillac Financial and the Cadillac logo are trademarks and/or service marks of General Motors LLC, used with permission. Cadillac Financial is a division of GM Financial. All Rights Reserved. Cadillac® XT6®",Lease,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Chevy, Buick, GMC Anchorage (MANUAL UPLOAD)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Swickard GMC Palmer (Manual Upload),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
