Dealership,dealership_logo_url,dealership_footer_url,dealership_footer_alt,dealership_footer_phone,dealership_footer_text,new_inventory_footer_url,used_inventory_footer_url,service_footer_url,gubagoo_footer_url,instagram_footer_url,facebook_footer_url,showroom_footer_hours,service_footer_hours,Footer-address,New_Specials_url,Last_Chance_Url
Mercedes-Benz of Maui,https://enfoilk.stripocdn.email/content/guids/CABINET_10bd50550f1a7fc994ec787d871979c7f5dc1bf08eb1089f9612049efb34380d/images/mercedes_benz_of_maui_2.png,https://www.mbofmaui.com/,MB Maui,18088721500,1-808-872-1500,https://www.mbofmaui.com/searchnew.aspx,https://www.mbofmaui.com/searchused.aspx?Dealership=Mercedes-Benz%20of%20Maui,https://www.mbofmaui.com/schedule-service,https://gubagoo.io/live-chat/138802?toolbar_id=1,https://www.instagram.com/mercedesbenzofmaui/,https://www.facebook.com/MBofMaui/,"Monday - Friday 9:00AM - 6:00PM
<br>
Saturday 9:00AM - 5:00PM
<br>
Sunday Closed","Monday - Friday 7:00AM - 5:00PM
<br>
Saturday 8:00AM - 2:00PM
<br>
Sunday -  Closed","69 Hobron Ave, Kahului, HI 96732
",https://www.mbofmaui.com/next-to-new-specials.html,https://www.mbofmaui.com/last-chance-specials.html
Porsche Seattle North,https://enfoilk.stripocdn.email/content/guids/CABINET_215d8f20ca3014aa0520c11d3f7aa3c29f11862f4a58214054c18540c36d8cb1/images/porsche_seattle_north_b_Kek.png,https://www.porscheseattlenorth.com/,Porsche Seattle North,14252980780,1-425-298-0780,https://www.porscheseattlenorth.com/searchnew.aspx,https://www.porscheseattlenorth.com/searchused.aspx,https://www.porscheseattlenorth.com/schedule-service,https://gubagoo.io/live-chat/136691?toolbar_id=1,https://www.instagram.com/porscheseattlenorth/,https://www.facebook.com/swickardporscheseattlenorth/,"Monday - Saturday 9:00AM - 7:00PM
<br>
Sunday - 10:00AM - 6:00PM","Monday - Friday 7:30AM - 6:00PM
<br>
Saturday - 8:00AM - 4:00PM
<br>
Sunday - Closed","18600 Hwy 99, Lynnwood, WA 98037
",https://www.porscheseattlenorth.com/searchnew.aspx,https://www.porscheseattlenorth.com/managers-pre-owned-specials.html
Volkswagen Anchorage,https://enfoilk.stripocdn.email/content/guids/CABINET_4f7f813a8f3dec98934ed75d1f28d8b9184b7cfae42c6bfcc8ef6589f56b4253/images/image_3uB.png,https://www.volkswagenanchorage.com/,Volkswagen Anchorage,19072645599,1-907-264-5599,https://www.volkswagenanchorage.com/searchnew.aspx,https://www.volkswagenanchorage.com/searchused.aspx,https://www.volkswagenanchorage.com/schedule-your-next-volkswagen-service-appointment,https://gubagoo.io/live-chat/136769?toolbar_id=1,https://www.instagram.com/volkswagenofanchorage/,https://www.facebook.com/SwickardVWAnchorage,"Monday - Saturday 9:00AM - 7:00PM
<br>
Sunday - 11:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday -  Sunday Closed","6115 Old Seward Hwy., Anchorage, AK 99518
",https://www.volkswagenanchorage.com/newspecials.html,https://www.volkswagenanchorage.com/last-chance-specials.html
Porsche Anchorage,https://enfoilk.stripocdn.email/content/guids/CABINET_2485aa161b1f290b438a9b177b39a4091507f9707785936c42e3265d3be32465/images/porscheanchoragelogo_3Zw.jpeg,https://www.porscheanchorage.com/,Porsche Anchorage,19072725522,1 907-272-5522,https://www.porscheanchorage.com/searchnew.aspx,https://www.porscheanchorage.com/searchused.aspx,https://www.porscheanchorage.com/schedule-service,https://gubagoo.io/live-chat/136766?toolbar_id=1,https://www.instagram.com/porscheanchorage/,https://www.facebook.com/SwickardPorscheAnchorage/,"Monday - Saturday 8:00AM - 7:00PM
<br>
Sunday - 11:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - Sunday Closed","6115 Old Seward Hwy., Anchorage, AK 99518
",https://www.porscheanchorage.com/searchnew.aspx,https://www.porscheanchorage.com/last-chance-specials.html
Audi Anchorage,https://enfoilk.stripocdn.email/content/guids/CABINET_d37212c36cf678e2f941a9df8b22342f8b4fd25be03364b83e9e0df0c58f408f/images/image_X35.jpeg,https://www.audiofanchorage.com/,Audi Anchorage,19072782834,1-907-278-2834,https://www.audiofanchorage.com/new-inventory/index.htm,https://www.audiofanchorage.com/used-inventory/index.htm,https://www.audiofanchorage.com/schedule-service-appointment.htm,https://gubagoo.io/live-chat/136781?toolbar_id=1,https://www.instagram.com/swickardaudianchorage/,https://www.facebook.com/swickardaudiofanchorage/,"Monday - Saturday 9:00AM - 7:00PM
<br>
Sunday - 11:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - Sunday Closed","6115 Old Seward Hwy., Anchorage, AK 99518
",https://www.audiofanchorage.com/promotions/new/index.htm,https://www.audiofanchorage.com/last-change-specials.htm
Toyota 101,https://enfoilk.stripocdn.email/content/guids/CABINET_f26d07c515e4ad68a39fc0660393f7c437e30ca56400dcb7b6b65b9c40791b8b/images/swickard_toyota_101_1_white_1_9it.png,https://www.swickardtoyota101.com/,Toyota 101,16503655000,1-650-365-5000,https://www.swickardtoyota101.com/searchnew.aspx,https://www.swickardtoyota101.com/searchused.aspx,https://www.swickardtoyota101.com/schedule-service.html,https://gubagoo.io/live-chat/142200?toolbar_id=1,https://instagram.com/swickardtoyota101,https://www.facebook.com/SwickardToyota101/,"Monday - Saturday 9:00am - 8:00pm
<br>
Sunday 10:00am - 7:00pm","Monday - Saturday 7:00am - 6:00pm
<br>
Sunday Closed","386 Convention Way, Redwood City, CA 94063
",https://www.swickardtoyota101.com/newspecials.html,https://www.swickardtoyota101.com/last-chance-specials.html
Swickard Toyota,https://enfoilk.stripocdn.email/content/guids/CABINET_176dbc3b6f370d97dbf795937fd3b669ef3761b2dca665b4559b47fa89e98a07/images/swickard_toyota_logo_w_1_9j6.png,https://www.swickardtoyota.com/,Swickard Toyota,14257754422,1-425-775-4422,https://www.swickardtoyota.com/searchnew.aspx,https://www.swickardtoyota.com/searchused.aspx?Dealership=Swickard%20Toyota,https://www.swickardtoyota.com/service-appointment.html,https://gubagoo.io/live-chat/136703?toolbar_id=1,https://www.instagram.com/swickard.toyota/,https://www.facebook.com/swickardtoyota/,"Monday - Saturday 8:30am - 8:00pm
<br>
Sunday 9:30 am - 7:00 pm","Monday - Friday 7:00AM - 7:00PM
<br>
Saturday 8:00AM - 6:00PM
<br>
Sunday Closed","21300 Highway 99, Edmonds, WA 98026


",https://www.swickardtoyota.com/newspecials.html,https://www.swickardtoyota.com/last-chance-specials.html
Volvo Cars Bellevue,https://enfoilk.stripocdn.email/content/guids/CABINET_8a7617fc2e74d528e461b68eac1bf170317321340815ef8519578a1c0272ea0e/images/volvo_cars_bellevue_logo_w_1.png,https://www.volvocarsbellevue.com/,Volvo Cars Bellevue,14254705216,1-425-470-5216,https://www.volvocarsbellevue.com/new-inventory/index.htm,https://www.volvocarsbellevue.com/used-inventory/index.htm?accountId=volvocarsbellevuevcna,https://www.volvocarsbellevue.com/schedule-volvo-service.htm,https://gubagoo.io/live-chat/118039?toolbar_id=4,https://www.instagram.com/volvocarsbellevue/,https://www.facebook.com/VolvoCarsBellevue/,"Monday - Saturday 9:00 am - 7:00 pm
<br>
Sunday 10:00 am - 6:00 pm
","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday 8:00AM - 5:00PM
<br>
Sunday Closed","420 116th Ave. NE, Bellevue, WA 98004
",https://www.volvocarsbellevue.com/promotions/new/index.htm,https://www.volvocarsbellevue.com/last-chance-specials.htm
Volvo Cars Seattle,https://enfoilk.stripocdn.email/content/guids/CABINET_b17189400d571d915f6152cd641c58d10d69b0f1ac262ba31c2fec25af992900/images/volvo_cars_seattle_logo_w_1.png,https://www.volvocarsseattle.com/,Volvo Cars Seattle,12063190990,1-206-319-0990,https://www.volvocarsseattle.com/new-inventory/index.htm,https://www.volvocarsseattle.com/used-inventory/index.htm?accountId=volvocarsseattlevcna,https://www.volvocarsseattle.com/schedule-service.htm,https://gubagoo.io/live-chat/116839?toolbar_id=4,https://www.instagram.com/volvoseattle/,https://www.facebook.com/volvocarsseattle/,"Monday - Friday 9:00AM - 7:00PM
<br>
Saturday 9:00AM - 6:00PM
<br>
Sunday 11:00AM - 6:00PM","Monday - Friday 7:30AM - 6:30PM
<br>
Saturday 9:00AM - 5:00PM
<br>
Sunday Closed","2700 NE 55th St., Seattle WA 98105
",https://www.volvocarsseattle.com/promotions/new/index.htm,https://www.volvocarsseattle.com/last-chance-specials.htm
Volvo Cars Southwest Houston,https://enfoilk.stripocdn.email/content/guids/CABINET_e12ec939b8f2553f86b2cee1535405ecdfe3dbc9904b1211966840537aaaf506/images/volvo_cars_southwest_houston_logo_w_1.png,https://www.volvocarssouthwesthouston.com/,Volvo Cars Southwest Houston,18775073527,1-877-507-3527,https://www.volvocarssouthwesthouston.com/new-inventory/index.htm,https://www.volvocarssouthwesthouston.com/used-inventory/index.htm,https://www.volvocarssouthwesthouston.com/schedule-service.htm,https://gubagoo.io/live-chat/136694?toolbar_id=1,https://www.instagram.com/volvoswhouston/,https://www.facebook.com/volvoswhouston/,"Monday - Friday 9:00AM - 7:00PM
<br>
Saturday 9:00AM - 6:00PM
<br>
Sunday - Closed","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday 7:00AM - 3:00PM
<br>
Sunday Closed","8305 W Sam Houston Pkwy. S, Houston, TX 77072
",https://www.volvocarssouthwesthouston.com/promotions/new/index.htm,https://www.volvocarssouthwesthouston.com/last-chance-specials.htm
,,,,,,,,,,,,,,,,
**This is the identifier column. Please send a request if names need adjustment**,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,
